[2017/05/09 00:01:36]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:01:58]  SELECT * FROM pre_moodlist WHERE 1 ORDER BY mood_id DESC  LIMIT 15 ; ERROR: 0 
[2017/05/09 00:03:10]  insert into `pre_guestbook`(`guestB_name`,`guestB_email`,`guestB_cont`,`guestB_site`,`guestB_time`,`guestB_state`) value('sdfghj','wetyjkl','wedfghj','','1494259390','0') ; ERROR: 0 
[2017/05/09 00:03:20]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 00:07:22]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 00:07:29]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:07:29]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:07:29]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:07:29]  SELECT * FROM pre_article WHERE article_id=30 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 00:09:19]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 01:01:54]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/09 01:02:14]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
